timestamp,device_id,site,temperature,pressure,error_state,latitude,longitude
2026-07-01T00:00:00Z,dev-001,Austin,72.1,30.1,false,30.2672,-97.7431
2026-07-01T01:00:00Z,dev-001,Austin,73.4,30.0,false,30.2672,-97.7431
2026-07-01T02:00:00Z,dev-001,Austin,75.0,29.9,true,30.2672,-97.7431
2026-07-01T00:00:00Z,dev-002,Chicago,68.2,30.3,false,41.8781,-87.6298
2026-07-01T01:00:00Z,dev-002,Chicago,69.0,30.2,false,41.8781,-87.6298
2026-07-01T02:00:00Z,dev-002,Chicago,70.6,30.1,false,41.8781,-87.6298
2026-07-01T00:00:00Z,dev-003,Seattle,63.7,30.4,false,47.6062,-122.3321
2026-07-01T01:00:00Z,dev-003,Seattle,64.9,30.5,true,47.6062,-122.3321
2026-07-01T02:00:00Z,dev-003,Seattle,65.8,30.4,false,47.6062,-122.3321
2026-07-01T03:00:00Z,dev-001,Austin,76.2,29.8,false,30.2672,-97.7431
2026-07-01T03:00:00Z,dev-002,Chicago,71.1,30.0,false,41.8781,-87.6298
2026-07-01T03:00:00Z,dev-003,Seattle,66.4,30.3,false,47.6062,-122.3321
